Name,Organization,Date,Location,Profile Link
Khalil Jibran,Khyber News,"June 18, 2024",Pakistan,https://cpj.org/data/people/khalil-jibran/
Khamail Khalaf,Radio Free Iraq,"April 5, 2007",Iraq,https://cpj.org/data/people/khamail-khalaf/
Khem Sambo,Moneaseka Khmer,"July 11, 2008",Cambodia,https://cpj.org/data/people/khem-sambo/
Khushvaht Muborakshoev,Tajikistan State Television,"December, 1992",Tajikistan,https://cpj.org/data/people/khushvaht-muborakshoev/
Khushvakht Haydarsho,Jumhuriyat,"May 18, 1994",Tajikistan,https://cpj.org/data/people/khushvakht-haydarsho/
Kim Wall,Freelance,"August 10, 2017",Denmark,https://cpj.org/data/people/kim-wall/
Kirill Radchenko,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,https://cpj.org/data/people/kirill-radchenko/
Kjasif Smajlovic,Oslobodjenje,"April 9, 1992",Bosnia,https://cpj.org/data/people/kjasif-smajlovic/
Klein Cantoneros,DXAA-FM,"May 4, 2005",Philippines,https://cpj.org/data/people/klein-cantoneros/
Kolawole Omoniyi,Freelance,"October 8, 2024",Nigeria,https://cpj.org/data/people/kolawole-omoniyi/
Kotaro Ogawa,freelance,"May 27, 2004",Iraq,https://cpj.org/data/people/kotaro-ogawa/
Kruno Marinovic,Croatian State Radio,"April 14, 1992",Bosnia,https://cpj.org/data/people/kruno-marinovic/
Kurt Schork,Reuters,"May 24, 2000",Sierra Leone,https://cpj.org/data/people/kurt-schork/
Kutlu Adali,Yeni Düzen,"July 6, 1996",Cyprus,https://cpj.org/data/people/kutlu-adali/
Lahcene Bensaadallah,El-Irshad,"October 12, 1994",Algeria,https://cpj.org/data/people/lahcene-bensaadallah/
Laith al-Dulaimi,Al-Nahrain,"May 8, 2006",Iraq,https://cpj.org/data/people/laith-al-dulaimi/
Lanka Jayasundara,Wijeya Publications,"December 11, 2004",Sri Lanka,https://cpj.org/data/people/lanka-jayasundara/
Larisa Yudina,Sovietskaya Kalmykia Segodnya,"June 8, 1998",Russia,https://cpj.org/data/people/larisa-yudina/
Larry Que,Catanduanes News Now,"December 20, 2016",Philippines,https://cpj.org/data/people/larry-que/
Lasantha Wickrematunge,The Sunday Leader,"January 8, 2009",Sri Lanka,https://cpj.org/data/people/lasantha-wickrematunge/
Lawrence Fahmy al-Naimi,Shaam News Network,"May 27, 2012",Syria,https://cpj.org/data/people/lawrence-fahmy-al-naimi/
Layal Najib,freelance,"July 23, 2006",Lebanon,https://cpj.org/data/people/layal-najib/
Lea Dalmacio,Socsargen News,"November 23, 2009",Philippines,https://cpj.org/data/people/lea-dalmacio/
Leiron Kogoya,Papua Pos Nabire and Pasifik Pos Dail,"April 8, 2012",Indonesia,https://cpj.org/data/people/leiron-kogoya/
Leobardo Vázquez Atzin,Enlace Informativo Regional,"March 21, 2018",Mexico,https://cpj.org/data/people/leobardo-vazquez-atzin/
Leonardo Gabriel Hernández,Valle TV,"March 17, 2019",Honduras,https://cpj.org/data/people/leonardo-gabriel-hernandez/
Leslie Ann Pamela Montenegro del Real,El Sillón,"February 5, 2018",Mexico,https://cpj.org/data/people/leslie-ann-pamela-montenegro-del-real/
Leyla Yildizhan (Deniz Firat),Firat News Agency,"August 8, 2014",Iraq,https://cpj.org/data/people/leyla-yildizhan-deniz-firat/
Liban Abdullahi Farah,Kalsan TV,"July 7, 2013",Somalia,https://cpj.org/data/people/liban-abdullahi-farah/
Liban Ali Nur,Somali National TV,"September 20, 2012",Somalia,https://cpj.org/data/people/liban-ali-nur/
Lindo Lupogan,Mindanao Daily Gazette,"November 23, 2009",Philippines,https://cpj.org/data/people/lindo-lupogan/
Lissy Schmidt,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel","April 3, 1994",Iraq,https://cpj.org/data/people/lissy-schmidt/
Loay al-Nimir,Freelance,"January 31, 2013",Syria,https://cpj.org/data/people/loay-al-nimir/
Lokman Slim,Freelance,"February 3 or 4, 2021",Lebanon,https://cpj.org/data/people/lokman-slim/
Louay Sadiq Meshaal,Al-Nujaba TV,"October 1, 2017",Iraq,https://cpj.org/data/people/louay-sadiq-meshaal/
Lourenço Veras,Porã News,"February 12, 2020",Paraguay,https://cpj.org/data/people/lourenco-veras/
Lucas Mebrouk Dolega,European Pressphoto Agency,"January 17, 2011",Tunisia,https://cpj.org/data/people/lucas-mebrouk-dolega/
Luciano Leitão Pedrosa,TV Vitória and Radio Metropolitana FM,"April 9, 2011",Brazil,https://cpj.org/data/people/luciano-leitao-pedrosa/
Luis Alonzo Almendares,Freelance,"September 27, 2020",Honduras,https://cpj.org/data/people/luis-alonzo-almendares/
Luis Antonio Peralta Cuéllar,Linda Stereo,"February 14, 2015",Colombia,https://cpj.org/data/people/luis-antonio-peralta-cuellar/
Luis Carlos Santiago,El Diario,"September 16, 2010",Mexico,https://cpj.org/data/people/luis-carlos-santiago/
Luis Eduardo Alfonso Parada,Radio Meridiano-70,"March 18, 2003",Colombia,https://cpj.org/data/people/luis-eduardo-alfonso-parada/
Luis Emanuel Ruiz Carrillo,La Prensa,"March 25, 2011",Mexico,https://cpj.org/data/people/luis-emanuel-ruiz-carrillo/
Luís Gustavo da Silva,Freelance,"June 14, 2017",Brazil,https://cpj.org/data/people/luis-gustavo-da-silva/
Luis Mario García Rodríguez,La Tarde,"February 12, 1998",Mexico,https://cpj.org/data/people/luis-mario-garcia-rodriguez/
Luiz Antônio da Costa,Época,"July 23, 2003",Brazil,https://cpj.org/data/people/luiz-antonio-da-costa/
Luiz Carlos Barbon Filho,"Jornal do Porto, JC Regional, and Rádio Porto FM","May 5, 2007",Brazil,https://cpj.org/data/people/luiz-carlos-barbon-filho/
Luke Somers,Freelance,"December 6, 2014",Yemen,https://cpj.org/data/people/luke-somers/
Luma al-Karkhi,Al-Dustour,"November 15, 2006",Iraq,https://cpj.org/data/people/luma-al-karkhi/
Lyra McKee,Freelance,"April 18, 2019",UK,https://cpj.org/data/people/lyra-mckee/
Łukasz Masiak,Nasza Mława,"June 14, 2015",Poland,https://cpj.org/data/people/lukasz-masiak/
M. L. Manchanda,All India Radio,"May 27, 1992",India,https://cpj.org/data/people/m-l-manchanda/
Mabay Kamara,Freelancer,"January 9, 1999",Sierra Leone,https://cpj.org/data/people/mabay-kamara/
Madjid Yacef,L'Hebdo Libéré,"March 20, 1994",Algeria,https://cpj.org/data/people/madjid-yacef/
Mafaldo Bezerra Goes,FM Rio Jaguaribe,"February 22, 2013",Brazil,https://cpj.org/data/people/mafaldo-bezerra-goes/
Magomed Yevloyev,Ingushetiya,"August 31, 2008",Russia,https://cpj.org/data/people/magomed-yevloyev/
Magomedzagid Varisov,Novoye Delo,"June 28, 2005",Russia,https://cpj.org/data/people/magomedzagid-varisov/
Maha Ibrahim,Baghdad TV,"June 25, 2005",Iraq,https://cpj.org/data/people/maha-ibrahim/
Mahad Ahmed Elmi,Capital Voice,"August 11, 2007",Somalia,https://cpj.org/data/people/mahad-ahmed-elmi/
Mahad Ali Mohamed,Codka Mudug Radio,"November 6, 2016",Somalia,https://cpj.org/data/people/mahad-ali-mohamed/
Mahad Salad Adan,Shabelle Media Network,"April 5, 2012",Somalia,https://cpj.org/data/people/mahad-salad-adan/
Maharram Durrani,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,https://cpj.org/data/people/maharram-durrani/
Maharram Ibrahimov,AzerTag,"June 4, 2021",Azerbaijan,https://cpj.org/data/people/maharram-ibrahimov/
Maheshwar Pahari,Rastriya Swabhiman,"October 4, 2005",Nepal,https://cpj.org/data/people/maheshwar-pahari/
Mahmoud al-Harbi al-Kafri,Daraa 24,"November 10, 2023",Syria,https://cpj.org/data/people/mahmoud-al-harbi-al-kafri/
Mahmoud al-Kumi,Al-Aqsa,"November 20, 2012",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mahmoud-al-kumi/
Mahmoud Hamid Abbas,Zweites Deutsches Fernsehen,"August 15, 2004",Iraq,https://cpj.org/data/people/mahmoud-hamid-abbas/
Mahmoud Juhjouh,Palestine Post,"May 16, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mahmoud-juhjouh/
Mahmoud Natouf,"Sana al-Thawra, Moadamyat Al-Sham Media Center","March 14, 2013",Syria,https://cpj.org/data/people/mahmoud-natouf/
Mahmoud Saremi,Iranian News Agency (IRNA),"August 8, 1998",Afghanistan,https://cpj.org/data/people/mahmoud-saremi/
Mahmoud Za'al,Baghdad TV,"January 25, 2006",Iraq,https://cpj.org/data/people/mahmoud-zaal/
Mahran al-Deeri,Al-Jazeera,"December 10, 2014",Syria,https://cpj.org/data/people/mahran-al-deeri/
Maisara Ahmed Salah,,"November 30, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/maisara-ahmed-salah/
Majd Fadl Arandas,Al-Jamaheer,"November 1, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/majd-fadl-arandas/
Majeed Mohammed,Kirkuk al-Yawm and Hawal,"July 16, 2007",Iraq,https://cpj.org/data/people/majeed-mohammed/
Majid Dirani,Freelance,"February 19, 2016",Syria,https://cpj.org/data/people/majid-dirani/
Maks Levin,LB.ua,"March 13-April 1, 2022",Ukraine,https://cpj.org/data/people/maks-levin/
Maksim Maksimov,Gorod,"June 29, 2006",Russia,https://cpj.org/data/people/maksim-maksimov/
Malalai Maiwand,Enikass Radio and TV,"December 10, 2020",Afghanistan,https://cpj.org/data/people/malalai-maiwand/
Malik Arif,Samaa TV,"April 16, 2010",Pakistan,https://cpj.org/data/people/malik-arif/
Malika Sabour,Echourouk al-Arabi,"May 21, 1995",Algeria,https://cpj.org/data/people/malika-sabour/
Mamdouh Qanita,Al-Aqsa TV,"November 30, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mamdouh-qanita/
Manik Saha,New Age,"January 15, 2004",Bangladesh,https://cpj.org/data/people/manik-saha/
Manish Kumar Singh,Sudarshan TV,"August 8 - 10, 2021",India,https://cpj.org/data/people/manish-kumar-singh/
Manoel Leal de Oliveira,A Regiao,"January 14, 1998",Brazil,https://cpj.org/data/people/manoel-leal-de-oliveira/
Mantas Kvedaravičius,Freelance,"March 28-April 2, 2022",Ukraine,https://cpj.org/data/people/mantas-kvedaravicius/
Manuel de Dios Unanue,El Diario/La Prensa,"March 11, 1992",USA,https://cpj.org/data/people/manuel-de-dios-unanue/
Manuel Martínez Espinoza,Radio Super,"September 28, 1993",Colombia,https://cpj.org/data/people/manuel-martinez-espinoza/
Marc Brunereau,freelance,"September 5, 2001",Afghanistan,https://cpj.org/data/people/marc-brunereau/
Marcellin Kayiranga,Kanguka,"April 22, 1994",Rwanda,https://cpj.org/data/people/marcellin-kayiranga/
Marcello Palmisano,RAI,"February 9, 1995",Somalia,https://cpj.org/data/people/marcello-palmisano/
Marckendy Natoux,"Freelance,Voice of America","December 24, 2024",Haiti,https://cpj.org/data/people/marckendy-natoux/
Marco Luchetta,RAI-TV,"January 28, 1994",Bosnia,https://cpj.org/data/people/marco-luchetta/
Marcos Borges Ribeiro,Independente,"May 1, 1995",Brazil,https://cpj.org/data/people/marcos-borges-ribeiro/
Marcos de Barros Leopoldo Guerra,Ubatuba Cobra,"December 23, 2014",Brazil,https://cpj.org/data/people/marcos-de-barros-leopoldo-guerra/
Marcos Efraín Montalvo,Freelance,"September 19, 2021",Colombia,https://cpj.org/data/people/marcos-efrain-montalvo/
Marcos Hernández Bautista,"Noticias, Voz e Imagen de Oaxaca","September 21, 2018",Mexico,https://cpj.org/data/people/marcos-hernandez-bautista/
María Carlin Fernández,Peruvian Radio and Television Network,"December 10, 1993",Peru,https://cpj.org/data/people/maria-carlin-fernandez/
María Efigenia Vásquez Astudillo,Renacer Kokonuko,"October 8, 2017",Colombia,https://cpj.org/data/people/maria-efigenia-vasquez-astudillo/
Maria Elena Ferral Hernández,"El Diario de Xalapa,El Quinto Poder","March 30, 2020",Mexico,https://cpj.org/data/people/maria-elena-ferral-hernandez/
Maria Elizabeth Macías Castro,Freelance,"September 24, 2011",Mexico,https://cpj.org/data/people/maria-elizabeth-macias-castro/
Maria Grazia Cutuli,Corriere della Serra,"November 19, 2001",Afghanistan,https://cpj.org/data/people/maria-grazia-cutuli/
María José Bravo,La Prensa,"November 9, 2004",Nicaragua,https://cpj.org/data/people/maria-jose-bravo/
María Veronica Tessari,Colombian Media,"January 15, 1993",Venezuela,https://cpj.org/data/people/maria-veronica-tessari/
Maricel Vigo,DXND,"June 19, 2006",Philippines,https://cpj.org/data/people/maricel-vigo/
Marie Colvin,The Sunday Times,"February 22, 2012",Syria,https://cpj.org/data/people/marie-colvin/
Marife “Neneng” Montaño,Saksi News and DXCI,"November 23, 2009",Philippines,https://cpj.org/data/people/marife-neneng-montano/
Mario Leonel Gómez Sánchez,El Heraldo de Chiapas,"September 21, 2018",Mexico,https://cpj.org/data/people/mario-leonel-gomez-sanchez/
Mario Randolfo Marques Lopes,Vassouras na Net,"February 9, 2012",Brazil,https://cpj.org/data/people/mario-randolfo-marques-lopes/
Mario Sy,Freelance,"August 1, 2013",Philippines,https://cpj.org/data/people/mario-sy/
Marites Cablitas,News Focus and DXDX,"November 23, 2009",Philippines,https://cpj.org/data/people/marites-cablitas/
Mark Gilbert Arriola,UNTV,"November 23, 2009",Philippines,https://cpj.org/data/people/mark-gilbert-arriola/
Marlene Garcia-Esperat,Midland News and DXKR,"March 24, 2005",Philippines,https://cpj.org/data/people/marlene-garcia-esperat/
Martin Adler,freelance,"June 23, 2006",Somalia,https://cpj.org/data/people/martin-adler/
Martín La Rotta,La Palma Estéreo,"February 7, 2004",Colombia,https://cpj.org/data/people/martin-la-rotta/
Martin O'Hagan,Sunday World,"September 28, 2001",UK,https://cpj.org/data/people/martin-ohagan/
Martin Roxas,DYVR,"August 7, 2008",Philippines,https://cpj.org/data/people/martin-roxas/
Martinez Zogo,Amplitude FM,"January 17 - 22, 2023",Cameroon,https://cpj.org/data/people/martinez-zogo/
Marwan Al Sawaf,Alef Multimedia,"December 1, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/marwan-al-sawaf/
Mauricio Cruz Solís,"Radiorama Michoacán,Minuto x Minuto","October 29, 2024",Mexico,https://cpj.org/data/people/mauricio-cruz-solis/
Maximilien Lazard,Roi des Infos,"February 23, 2022",Haiti,https://cpj.org/data/people/maximilien-lazard/
Maximino Rodríguez,Freelance,"April 14, 2017",Mexico,https://cpj.org/data/people/maximino-rodriguez/
Maya Naser,Press TV,"September 26, 2012",Syria,https://cpj.org/data/people/maya-naser/
Mayada Ashraf,Al-Dustour,"March 28, 2014",Egypt,https://cpj.org/data/people/mayada-ashraf/
Mazen al-Tumeizi,Al-Arabiya,"September 12, 2004",Iraq,https://cpj.org/data/people/mazen-al-tumeizi/
Mazen Dana,Reuters,"August 17, 2003",Iraq,https://cpj.org/data/people/mazen-dana/
Mazhar Tayyara,Freelance,"February 4, 2012",Syria,https://cpj.org/data/people/mazhar-tayyara/
Mehboob Khan,freelance,"April 28, 2007",Pakistan,https://cpj.org/data/people/mehboob-khan/
Mehmood Khan,DawnNews,"August 8, 2016",Pakistan,https://cpj.org/data/people/mehmood-khan/
Mekhlouf Boukzer,Algerian State Television,"April 4, 1995",Algeria,https://cpj.org/data/people/mekhlouf-boukzer/
Metin Göktepe,Evrensel,"January 8, 1996",Turkey,https://cpj.org/data/people/metin-goktepe/
Michael Kelly,Atlantic Monthly and The Washington Post,"April 3, 2003",Iraq,https://cpj.org/data/people/michael-kelly/
Michael Senior,Freelancer,"July 7, 1997",Cambodia,https://cpj.org/data/people/michael-senior/
Michael Tshele,Freelance,"January 13, 2014",South Africa,https://cpj.org/data/people/michael-tshele/
Michelle Lang,Calgary Herald and Canwest News Service,"December 30, 2009",Afghanistan,https://cpj.org/data/people/michelle-lang/
Mick Deane,Sky News,"August 14, 2013",Egypt,https://cpj.org/data/people/mick-deane/
Miguel Gil Moreno de Mora,The Associated Press,"May 24, 2000",Sierra Leone,https://cpj.org/data/people/miguel-gil-moreno-de-mora/
Miguel Pérez Julca,Radio Éxitos,"March 17, 2007",Peru,https://cpj.org/data/people/miguel-perez-julca/
Mika Yamamoto,Japan Press,"August 20, 2012",Syria,https://cpj.org/data/people/mika-yamamoto/
Mikhail Beketov,Khimkinskaya Pravda,"April 8, 2013",Russia,https://cpj.org/data/people/mikhail-beketov/
Milan Pantic,Vecernje Novosti,"June 11, 2001",Yugoslavia,https://cpj.org/data/people/milan-pantic/
Mina Khairi,Ariana News TV,"June 3, 2021",Afghanistan,https://cpj.org/data/people/mina-khairi/
Mir Illias Hossain,Dainik Bir Darpan,"January 15, 2000",Bangladesh,https://cpj.org/data/people/mir-illias-hossain/
Mir Wahed Shah,Khurshid TV,"May 30, 2020",Afghanistan,https://cpj.org/data/people/mir-wahed-shah/
Miran Krovatin,RAI-3 Television,"March 20, 1994",Somalia,https://cpj.org/data/people/miran-krovatin/
Miroslava Breach Velducea,La Jornada,"March 23, 2017",Mexico,https://cpj.org/data/people/miroslava-breach-velducea/
Mirwais Jalil,BBC World Service,"July 29, 1994",Afghanistan,https://cpj.org/data/people/mirwais-jalil/
Mirza Iqbal Hussain,News Network International,"January 10, 2013",Pakistan,https://cpj.org/data/people/mirza-iqbal-hussain/
Mirza Waseem Baig,92 News,"August 30, 2019",Pakistan,https://cpj.org/data/people/mirza-waseem-baig/
Misri Khan,Ausaf and Mashriq,"September 14, 2010",Pakistan,https://cpj.org/data/people/misri-khan/
Mohamad Al-Bayyari,Al-Aqsa TV,"November 2, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamad-al-bayyari/
Mohamad Al-Iff,Al-Rai,"December 24, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamad-al-iff/
Mohamed Abazied (George Samara),Nabd Syria Satellite Station/ Syria Media Organization (SMO),"March 12, 2017",Syria,https://cpj.org/data/people/mohamed-abazied-george-samara/
Mohamed Abderrahmani,El-Moudjahid,"March 27, 1995",Algeria,https://cpj.org/data/people/mohamed-abderrahmani/
Mohamed Abu Halima,An-Najah National University Radio,"March 22, 2004",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-abu-halima/
Mohamed Abu Hassira,WAFA,"November 7, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-abu-hassira/
Mohamed Ahmed Taysir Bellou,Shahba Press,"November 19, 2013",Syria,https://cpj.org/data/people/mohamed-ahmed-taysir-bellou/
Mohamed al-Hamdani,Al-Itijah,"February 24, 2011",Iraq,https://cpj.org/data/people/mohamed-al-hamdani/
Mohamed al-Khal,Freelance,"November 25, 2012",Syria,https://cpj.org/data/people/mohamed-al-khal/
Mohamed al-Mesalma,Al-Jazeera,"January 18, 2013",Syria,https://cpj.org/data/people/mohamed-al-mesalma/
Mohamed Amin,Radio Shabelle,"December 3, 2009",Somalia,https://cpj.org/data/people/mohamed-amin/
Mohamed Ben Khalifa,Freelance,"January 19, 2019",Libya,https://cpj.org/data/people/mohamed-ben-khalifa/
Mohamed Dorbane,Le Soir d'Algérie,"February 11, 1996",Algeria,https://cpj.org/data/people/mohamed-dorbane/
Mohamed El Sayed Abu Skheil,Al-Quds Radio,"March 18, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-el-sayed-abu-skheil/
Mohamed El-Reefi,Freelance,"March 15, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-el-reefi/
Mohamed Guessab,Algerian Radio,"August 12, 1996",Algeria,https://cpj.org/data/people/mohamed-guessab/
Mohamed Ibrahim Raage,"Radio Mogadishu, Somali National Television","April 21, 2013",Somalia,https://cpj.org/data/people/mohamed-ibrahim-raage/
Mohamed Isaq,Kalsan TV,"December 5, 2014",Somalia,https://cpj.org/data/people/mohamed-isaq/
Mohamed Isse Hassan,M24 Somali TV,"October 29, 2022",Somalia,https://cpj.org/data/people/mohamed-isse-hassan/
Mohamed Jamal Sobhi Al-Thalathini,Al-Quds Al-Youm,"January 11, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-jamal-sobhi-al-thalathini/
Mohamed Lamine Legoui,Algerian Press Service,"July 21, 1994",Algeria,https://cpj.org/data/people/mohamed-lamine-legoui/
Mohamed Manhal Abu Armana,Palestine Now,"July 13, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-manhal-abu-armana/
Mohamed Meceffeuk,Détective,"April 13, 1994",Algeria,https://cpj.org/data/people/mohamed-meceffeuk/
Mohamed Mekati,El-Moudjahid,"January 10, 1996",Algeria,https://cpj.org/data/people/mohamed-mekati/
Mohamed Meshmesh,Al-Aqsa Voice Radio,"July 15, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-meshmesh/
Mohamed Mohamud,Universal TV,"October 26, 2013",Somalia,https://cpj.org/data/people/mohamed-mohamud/
Mohamed Mohamud Turyare,Shabelle Media Network,"October 28, 2012",Somalia,https://cpj.org/data/people/mohamed-mohamud-turyare/
Mohamed Mouin Ayyash,Freelance,"November 23, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-mouin-ayyash/
Mohamed Nabil Al-Zaq,Al Quds,"November 22, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-nabil-al-zaq/
Mohamed Naser Abu Huwaidi,Al-Istiklal,"December 23, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-naser-abu-huwaidi/
Mohamed Quratem,Enab Baladi,"November 28, 2012",Syria,https://cpj.org/data/people/mohamed-quratem/
Mohamed Saeed al-Hamwi,Qaboun Media Center,"February 17, 2013",Syria,https://cpj.org/data/people/mohamed-saeed-al-hamwi/
Mohamed Sahal Omar,SBC TV,"July 12 or 13, 2019",Somalia,https://cpj.org/data/people/mohamed-sahal-omar/
Mohamed Salah Benachour,Algerian Press Service,"October 20, 1994",Algeria,https://cpj.org/data/people/mohamed-salah-benachour/
Mohamed Shamsan,Yemen Today,"April 20, 2015",Yemen,https://cpj.org/data/people/mohamed-shamsan/
Mohamed Taani,SMART News Agency,"June 27, 2014",Syria,https://cpj.org/data/people/mohamed-taani/
Mohamed Yaghi,Freelance,"February 23, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-yaghi/
Mohamed Yamen Naddaf,Shahba Press,"November 24, 2013",Syria,https://cpj.org/data/people/mohamed-yamen-naddaf/
Mohammad Abbas Mohammad,Al-Bayinnah al-Jadida,"August 7, 2006",Iraq,https://cpj.org/data/people/mohammad-abbas-mohammad/
Mohammad al-Qadasi,Belqees TV,"January 22, 2018",Yemen,https://cpj.org/data/people/mohammad-al-qadasi/
Mohammad Balousha,Palestine Today,"October 17, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammad-balousha/
Mohammad Hilal Karji,Baghdad TV,"June 6, 2007",Iraq,https://cpj.org/data/people/mohammad-hilal-karji/
Mohammad Imran,Express TV,"January 4, 2009",Pakistan,https://cpj.org/data/people/mohammad-imran/
Mohammad Jarghoun,Smart Media,"October 7, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammad-jarghoun/
Mohammad Nasir Mudasir,Melli Paigham Radio,"December 15, 2016",Afghanistan,https://cpj.org/data/people/mohammad-nasir-mudasir/
Mohammad Quamruzzaman,Neel Sagar,"February 19, 1996",Bangladesh,https://cpj.org/data/people/mohammad-quamruzzaman/
Mohammad Saeed,Al-Arabiya,"October 29, 2013",Syria,https://cpj.org/data/people/mohammad-saeed/
Mohammad Salim Angaar,Radio Television Afghanistan,"October 18, 2018",Afghanistan,https://cpj.org/data/people/mohammad-salim-angaar/
Mohammad Samdani Warsi,Parcham,"December 6, 1994",Pakistan,https://cpj.org/data/people/mohammad-samdani-warsi/
Mohammad Shamma,Al-Ikhbariya,"June 27, 2012",Syria,https://cpj.org/data/people/mohammad-shamma/
Mohammed Abdullahi Khalif,Voice of Peace,"May 5, 2007",Somalia,https://cpj.org/data/people/mohammed-abdullahi-khalif/
Mohammed Abed Rabbo,Al-Manara Agency,"August 27, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-abed-rabbo/
Mohammed Abu Daqqa,"Freelance,Al-Hadath","July 29, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-abu-daqqa/
Mohammed Abu Hatab,Palestine TV,"November 2, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-abu-hatab/
Mohammed Abu Jasser,"Al-Risala,Felesteen","July 20, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-abu-jasser/
Mohammed Abu Sharia,Shams News Agency,"July 1, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohmmed-abu-sharia/
Mohammed Al Qrinawi,Snd News Agency,"December 14, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-qrinawi/
Mohammed al-Asfar,Al-Jazeera,"June 26, 2015",Syria,https://cpj.org/data/people/mohammed-al-asfar/
Mohammed al-Ashram,Al-Ikhbariya,"October 10, 2012",Syria,https://cpj.org/data/people/mohammed-al-ashram/
Mohammed Al-Ladaa,Al Quds Al-Youm,"December 26, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-ladaa/
Mohammed al-Nabbous,Libya Al-Hurra TV,"March 19, 2011",Libya,https://cpj.org/data/people/mohammed-al-nabbous/
Mohammed al-Qasim,Rozana Radio,"September 10, 2014",Syria,https://cpj.org/data/people/mohammed-al-qasim/
Mohammed Al-Salhi,Fourth Authority news agency,"October 7, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-salhi/
Mohammed Al-Sharafi,,"December 18, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-sharafi/
Mohammed Al-Talmas,Safa News Agency,"January 14, 2025",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-talmas/
Mohammed Al-Tanani,Al-Aqsa TV,"October 9, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-tanani/
Mohammed Ali,Al-Shabab Radio (Youth Radio),"October 20, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-ali/
Mohammed Atallah,"Al-Resalah,Raseef22","January 29, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-atallah/
Mohammed Balousha,Al Mashhad Media,"December 14, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohamed-balousha/
Mohammed Bassam Al Jamal,Palestine Now,"April 25, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-al-jamal/
Mohammed Eissa,Nateq Network,October 2015 - June 2016,Syria,https://cpj.org/data/people/mohammed-eissa/
Mohammed Ghalib al-Majidi,Freelance,"March 21, 2016",Yemen,https://cpj.org/data/people/mohammed-ghalib-al-majidi/
Mohammed Ghanem,Al-Sharqiyah,"October 5, 2013",Iraq,https://cpj.org/data/people/mohammed-ghanem/
Mohammed Haroon,Al-Kadiya,"October 19, 2005",Iraq,https://cpj.org/data/people/mohammed-haroon/
Mohammed Hussein Navab,Keyhan,"August 30, 1994",Bosnia,https://cpj.org/data/people/mohammed-hussein-navab/
Mohammed Hussein Rasho,Cira TV,"October 14, 2019",Syria,https://cpj.org/data/people/mohammed-hussein-rasho/
Mohammed Ibrahim,Express TV and Daily Express,"May 22, 2008",Pakistan,https://cpj.org/data/people/mohammed-ibrahim/
Mohammed Imad Labad,Al Resalah,"October 23, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/mohammed-imad-labad/
